halId_s,version_i,uri_s,docType_s,doiId_s,nntId_s,title_s,abstract_s,keyword_s,authId_i,authFirstName_s,authLastName_s,authFullName_s,producedDate_s,domain_s,structAddress_s,structCode_s,structCountry_s,structName_s,structType_s,structAcronym_s,language_s
hal-01634173,1,https://hal.archives-ouvertes.fr/hal-01634173,ART,10.1109/COMST.2017.2661861,,Network coding in cognitive radio networks : a comprehensive survey,"Network Coding (NC) is a technique used for effective and secure communication by improving the network capacity\, throughput\, efficiency\, and robustness. In network coding\, data packets are encoded by intermediate nodes and are then decoded at the destination nodes. Network coding has been successfully applied in a variety of networks including relay networks\, peer-to-peer networks\, wireless networks\, cognitive radio networks\, and wireless sensor networks. Cognitive radio network (CRN) is an emerging field which exploits the utilization of unused spectrum or white spaces\, effectively and efficiently. In CRNs\, network coding schemes are also applied to maximize the spectrum utilization\, as well as to maintain the effective and secure transmission of data packets over the network. In this paper\, we provide a comprehensive survey of network coding schemes in cognitive radio networks\, highlighting the motivations for and the applications of network coding in CRNs. We provide typical case studies of network coding schemes in CRNs\, as well as the taxonomy of network coding schemes in CRNs. Finally\, we present open issues\, challenges\, and future research directions related with network coding in cognitive radio networks","Cognitive radio networks CRNs,Dynamic spectrum access networks,Network coding NC,Physical layer network coding PLNC,Analog network coding ANC","1669428,1669429,1489458,1483105,1294001","Ayesha,Rehmani,Yasir,Imran,Noel","Naeem,Mubashir Husain,Saleem,Rashid,Crespi","Ayesha Naeem,Rehmani Mubashir Husain,Yasir Saleem,Imran Rashid,Noel Crespi",2017-01,"0.info,1.info.info-ni","37-39 Rue Dareau\, 75014 Paris,9 rue Charles Fourier -91011 Evry Cedex,Télécom Sudparis\, 9 rue Charles Fourier -91011 Evry cedex,37-39 Rue Dareau\, 75014 Paris,9 rue Charles Fourier -91011 Evry Cedex,TELECOM Sudparis 9 rue Charles Fourier 91011 EVRY,Télécom Sudparis\, 9 rue Charles Fourier -91011 Evry cedex,37-39 Rue Dareau\, 75014 Paris,9 rue Charles Fourier -91011 Evry Cedex","UMR5157,UMR5157","pk,pk,fr,fr,fr,fr,fr,fr,fr,pk,fr,fr,fr,fr,fr","COMSATS Institute of Information Technology - CIIT (PAKISTAN),COMSATS Institute of Information Technology,Département Réseaux et Services Multimédia Mobiles,Institut Mines-Télécom [Paris],Télécom SudParis,Services répartis\, Architectures\, MOdélisation\, Validation\, Administration des Réseaux,Institut Mines-Télécom [Paris],Télécom SudParis,Centre National de la Recherche Scientifique,Military College of Signals (National University of Sciences and Technology (NUST)),Réseaux\, Systèmes\, Services\, Sécurité,Services répartis\, Architectures\, MOdélisation\, Validation\, Administration des Réseaux,Institut Mines-Télécom [Paris],Télécom SudParis,Centre National de la Recherche Scientifique","laboratory,institution,laboratory,institution,institution,laboratory,institution,institution,institution,institution,researchteam,laboratory,institution,institution,institution","CIIT,RS2M,TSP,SAMOVAR,TSP,CNRS,MCS,R3S-SAMOVAR,SAMOVAR,TSP,CNRS",en
hal-01634172,1,https://hal.archives-ouvertes.fr/hal-01634172,ART,,,La localisation des événements dans les chroniques de l’Antiquité tardive,,Histoire antique,1669416,Claire,Sotinel,Claire Sotinel,2012,"0.shs,1.shs.hist","Université Paris 12 - Val de Marne 61 avenue du Général de Gaulle 94010 Créteil cedex,61 avenue du Général de Gaulle - 94010 Créteil cedex",EA4392,"fr,fr","Centre de recherche en histoire européenne comparée,Université Paris-Est Créteil Val-de-Marne - Paris 12","laboratory,institution","CRHEC,UPEC UP12",fr
hal-01634171,1,https://hal.archives-ouvertes.fr/hal-01634171,COMM,,,Entre reproduction et adaptation des expériences du nord : le cas du Burundi et du Cameroun,,,"902394,1442250,883968","Claver,Emmanuelle,Georges Louis","Nijimbere,Voulgre,BARON","Claver Nijimbere,Emmanuelle Voulgre,Georges Louis Baron",2014-10-08,"0.shs,1.shs.edu","45\, rue des Saints Pères 75270 Paris Cedex 06,12\, rue de l'École de Médecine - 75270 Paris cedex 06",EA 4071,"fr,fr","Education Discours Apprentissages,Université Paris Descartes - Paris 5","laboratory,institution","EDA - EA 4071,UPD5",fr
hal-01634170,1,https://hal.univ-lorraine.fr/hal-01634170,COUV,,,Les enjeux actuels de la construction européenne,,,403958,Etienne,Criqui,Etienne Criqui,2013,"0.shs,1.shs.droit","IRENEE\, Université de Lorraine\, Campus Carnot/Ravinelle\, 13 place Carnot\, 54000 Nancy,34 cours Léopold - CS 25233 - 54052 Nancy cedex",EA7303,"fr,fr","Institut de Recherches sur l'Evolution de la Nation et de l'Etat,Université de Lorraine","laboratory,institution","IRENEE,UL",fr
hal-01634169,1,https://hal.archives-ouvertes.fr/hal-01634169,OUV,,,Croire et faire croire,"Se passer de croire est une éventualité peu réaliste\, voire impossible. Dans l'ordinaire de la vie humaine comme dans l'ordre extraordinaire du politique\, le domaine de la croyance rassemble des activités concrètes mais aussi tout un ensemble d'imaginaires et d'idéologies. La confrontation interdisciplinaire menée dans cet ouvrage met en évidence les articulations nouvelles entre les processus d'individualisation de la politique ainsi que les changements affectant les répertoires de sens et d'imaginaire à partir desquels s'orientent\, s'expriment et s'engagent les individus. Partant de différents domaines d'investigation et de phénomènes sociétaux caractéristiques des démocraties actuelles\, les auteurs révèlent les formes d'idéologies et de croyances qui caractérisent les répertoires socio-politiques contemporains... (Résumé éditeur)","Socio-politiques contemporains,Croyance",1470089,Anne,Muxel,Anne Muxel,2017-11,"0.shs,1.shs.scipo","98\, rue de l'Université 75007 PARIS",UMR7048,"fr,fr,fr","Centre de Recherches Politiques de Sciences Po,Sciences Po,Centre National de la Recherche Scientifique","laboratory,institution,institution","CEVIPOF,CNRS",fr
hal-01634168,1,https://hal.archives-ouvertes.fr/hal-01634168,ART,10.1016/j.frl.2013.05.007,,Optimal Multi-Period Consumption and Investment with Short-Sale Constraints,"This article examines agents’ consumption-investment problem in a multi-period pure exchange economy where agents are constrained with the short-sale of state-dependent risky contingent claims. In equilibrum\, agents hold options written on aggregate consumption in their optimal portfolios. Furthermore\, under the specific case of quadratic utility\, the optimal risk-sharing rule derived for the pricing agent leads to a multifactor conditional consumption-based capital asset pricing model (CCAPM)\, where excess option returns appear as factors.","Options,Optimization,Short-sales,Theoretical Asset Pricing,Consumption-based CAPM","1431117,1669425,1669426","Eser,Aslihan,Mustafa","Arisoy,Altay-Salih,Pinar","Eser Arisoy,Aslihan Altay-Salih,Mustafa Pinar",2014-03,"0.shs,1.shs.gestion",Place du Maréchal de Lattre de Tassigny 75775 Paris Cedex 16,UMR7088,"fr,fr,fr","Dauphine Recherches en Management,Université Paris-Dauphine,Centre National de la Recherche Scientifique","laboratory,institution,institution","DRM,CNRS",en
halshs-01634166,1,https://halshs.archives-ouvertes.fr/halshs-01634166,COUV,,,"« L’architecture au service de l’efficacité des instituts de recherche – enjeux\, représentations\, savoirs d’utilisateurs »",,,1090841,Michael,Fenker,Michael Fenker,2017,"0.shs,1.shs.archi,0.shs,1.shs.geo,0.shs,1.shs.socio","Laboratoires de recherche de l’École nationale supérieure d’architecture de Paris La Villette (ENSAPLV) 118-130\, avenue Jean Jaurès\, 75019 Paris,Université Paris Nanterre UMR CNRS 7218 LAVUE Bâtiment Max Weber - SHS - 4e étage 200 avenue de la République 92001 Nanterre,2 rue de la Liberté - 93526 Saint-Denis cedex,200 avenue de la République - 92001 Nanterre cedex","UMR7218,UMR7218","fr,fr,fr,fr,fr,fr,fr","Laboratoire Espaces Travail,Laboratoire Architecture\,Ville\, Urbanisme\, Environnement,Université Paris 8\, Vincennes-Saint-Denis,Université Paris Nanterre,Centre National de la Recherche Scientifique,Conservatoire National des Arts et Métiers [CNAM],Ecole d'architecture de Paris-La Villette","researchteam,laboratory,institution,institution,institution,institution,institution","LET,LAVUE,UP8,UPN,CNRS,CNAM",fr
hal-01634164,1,https://hal.univ-lorraine.fr/hal-01634164,COUV,,,"Le regain de l’action catégorielle : CGC\, USS-Solidaires\, FSU\, UNSA\, STC",,,"311926,1669424","Thierry,Marina","Choffat,Casul","Thierry Choffat,Marina Casul",2013,"0.shs,1.shs.droit","IRENEE\, Université de Lorraine\, Campus Carnot/Ravinelle\, 13 place Carnot\, 54000 Nancy,34 cours Léopold - CS 25233 - 54052 Nancy cedex",EA7303,"fr,fr","Institut de Recherches sur l'Evolution de la Nation et de l'Etat,Université de Lorraine","laboratory,institution","IRENEE,UL",fr
hal-01634160,1,https://hal-centralesupelec.archives-ouvertes.fr/hal-01634160,UNDEFINED,,,A fast integral equation based method for solving electromagnetic inverse scattering problems with inhomogeneous background,,,"1669422,656035,656036,108646","Kiuwen,Yu,Xudong,Dominique","Xu,Zhong,Chen,Lesselier","Kiuwen Xu,Yu Zhong,Xudong Chen,Dominique Lesselier",2017-11-13,"0.spi,1.spi.elec,0.spi,1.spi.signal,0.math,1.math.math-mp","21 Lower Kent Ridge Rd\, Singapour 119077,Plateau de Moulon 3 rue Joliot Curie 91192 GIF SUR YVETTE CEDEX,Bâtiment 300 - 91405 Orsay cedex,3\, rue Joliot Curie\,Plateau de Moulon\,91192 GIF-SUR-YVETTE Cedex",,"fr,sg,sg,fr,fr,fr,fr","Hangzhou Dianzi University,Institution of High Performance Computing\, A*STAR,National University of Singapore,Laboratoire des signaux et systèmes,Université Paris-Sud - Paris 11,CentraleSupélec,Centre National de la Recherche Scientifique","institution,institution,institution,laboratory,institution,institution,institution","IHPC,NUS,L2S,UP11,CNRS",en
hal-01634158,1,https://hal-mines-paristech.archives-ouvertes.fr/hal-01634158,COUV,,,Early strain localization in strong work hardening aluminum alloy (2198 T3): 3D laminography and DVC measurement,"The effect of strain hardening on localization in front of a notch is assessed by following the interactions between strain concentrations\, damage\, initial microstructure and grain orientations. A CT-like specimen made of strong work hardening 2198 T3 aluminum alloy is subjected to an in situ synchrotron laminography experiment. Kinematic fields are measured via digital volume correlation. The final results are bulk displacement and strain fields including their corresponding resolutions. The reported results refer to the portion of the specimen around 1 mm away from the notch root. With the selected spatial resolution\, damage nucleation and growth is evaluated in strained bands until the very end of the loading process.","Digital Volume Correlation DVC,Flat-to-slant transition,High work hardening material Laminography Plastic flow","1400740,427408,990343,1400738","Ante,Lukas,François,Thilo","Buljac,Helfen,Hild,Morgeneyer","Ante Buljac,Lukas Helfen,François Hild,Thilo Morgeneyer",2018,"0.phys,1.phys.cond,2.phys.cond.cm-ms","Bât. Léonard de Vinci 61 Av du président Wilson 94235 CACHAN CEDEX,61\, avenue du Président Wilson - 94230 Cachan,6 rue Jules Horowitz BP220 38043 GRENOBLE CEDEX,P.O.box 3640\, 76021 Karlsruhe,Centre des matériaux P. M. Fourt RN 447 - BP 87 91003 EVRY CEDEX,60\, boulevard Saint-Michel 75006 Paris","UMR8535,UMR7633","fr,fr,fr,fr,de,de,fr,fr,fr,fr","Laboratoire de Mécanique et Technologie,École normale supérieure - Cachan,Centre National de la Recherche Scientifique,European Synchrotron Radiation Facility,Institute for Photon Science and Synchrotron Radiation,Karlsruher Institut für Technologie,Centre des Matériaux,MINES ParisTech - École nationale supérieure des mines de Paris,PSL Research University,Centre National de la Recherche Scientifique","laboratory,institution,institution,institution,laboratory,institution,laboratory,institution,institution,institution","LMT,ENS Cachan,CNRS,ESRF,ANKA,KIT,MAT,PSL,CNRS",en
hal-01634155,1,https://hal.archives-ouvertes.fr/hal-01634155,ART,10.1016/j.jfineco.2017.06.015,,Volatility of Aggregate Volatility and Hedge Fund Returns,"This paper investigates empirically whether uncertainty about equity market volatility can explain hedge fund performance both in the cross section and over time. We measure uncertainty via volatility of aggregate volatility (VOV) and construct an investable version through returns on lookback straddles on the VIX index. We find that VOV exposure is a significant determinant of hedge fund returns. After controlling for fund characteristics\, we document a robust and significant negative risk premium for VOV exposure in the cross section of hedge fund returns. We corroborate our results using statistical and parameterized proxies of VOV over a longer sample period.","Uncertainty,Volatility of volatility,Hedge funds,Performance","1431116,1431117,1669421","Vikas,Eser,Narayan Y.","Agarwal,Arisoy,Naik","Vikas Agarwal,Eser Arisoy,Narayan Y. Naik",2017,"0.shs,1.shs.gestion",Place du Maréchal de Lattre de Tassigny 75775 Paris Cedex 16,UMR7088,"fr,fr,fr","Dauphine Recherches en Management,Université Paris-Dauphine,Centre National de la Recherche Scientifique","laboratory,institution,institution","DRM,CNRS",en
halshs-01634154,1,https://halshs.archives-ouvertes.fr/halshs-01634154,COUV,,,« Négociation et projets d’architecture durable : Analyses croisées de deux opérations et de la presse professionnelle. »,"Nous avons fait l’hypothèse que le développement durable pourrait favoriser la négociation en général\, et plus particulièrement celle qui entoure les projets architecturaux. Pour avancer sur cette hypothèse\, notre recherche privilégie l’étude des pratiques\, compétences ou valeurs qui conditionnent la négociation du projet durable\, à partir de l’analyse de deux projets d’architecture durable et de la médiatisation de ces questions dans la presse professionnelle. Ces deux approches complémentaires ont été menées de front sur la même période\, celle où la préoccupation environnementale a fortement émergé\, la décennie 2000-2010. Leur confrontation a permis de mettre à jour les représentations reconstruites par les acteurs du terrain impliqués dans des projets durables et celles transmises par les publications.",,"542385,983421,1669420","Christophe,Béatrice,Michael","Camus,Durand, FENKER","Christophe Camus,Béatrice Durand,Michael  fenker",2012,"0.shs,1.shs.archi,0.shs,1.shs.geo,0.shs,1.shs.socio","Laboratoires de recherche de l’École nationale supérieure d’architecture de Paris La Villette (ENSAPLV) 118-130\, avenue Jean Jaurès\, 75019 Paris,Université Paris Nanterre UMR CNRS 7218 LAVUE Bâtiment Max Weber - SHS - 4e étage 200 avenue de la République 92001 Nanterre,2 rue de la Liberté - 93526 Saint-Denis cedex,200 avenue de la République - 92001 Nanterre cedex,Kaiserswerther Str. 16-18\, 14195 Berlin","UMR7218,UMR7218","fr,fr,fr,fr,fr,fr,fr,de,de","Laboratoire Espaces Travail,Laboratoire Architecture\,Ville\, Urbanisme\, Environnement,Université Paris 8\, Vincennes-Saint-Denis,Université Paris Nanterre,Centre National de la Recherche Scientifique,Conservatoire National des Arts et Métiers [CNAM],Ecole d'architecture de Paris-La Villette,Institut für Romanische Philologie,Freie Universität Berlin [Berlin]","researchteam,laboratory,institution,institution,institution,institution,institution,laboratory,institution","LET,LAVUE,UP8,UPN,CNRS,CNAM",fr
hal-01634153,1,https://hal-centralesupelec.archives-ouvertes.fr/hal-01634153,UNDEFINED,,,Electromagnetic imaging of defects in layered fiber-reinforced laminates,"Electromagnetic non-destructive testing of damaged multi-layer fiber-reinforced laminates is of concern. Each layer involves periodically positioned circular cylindrical fibers embedded within a matrix medium. Missing\, displaced\, shrunk\, expanded fibers as well as circular inclusions inside a fiber are modeled as properly designed equivalent sources inside the undamaged structure. Then\, the location of damages is retrieved via simply searching for such equivalent sources. A sparsityconstrained solution as well as classical algorithms including truncated singular value decomposition (TSVD)\, multiple signal classification (MUSIC) and basic matching pursuit (BMP) are considered\, and their pros and cons are illustrated by numerical results in various configurations.","Electromagnetic nondestructive testing,Fibered laminates,Periodic fibers,Computational modeling,Inverse source problem,Imaging,Sparsity,Singular value decomposition,Multiple signal classification,Basic matching pursuit","1266293,108646,656035","Zicheng,Dominique,Yu","Liu,Lesselier,Zhong","Zicheng Liu,Dominique Lesselier,Yu Zhong",2017-11-13,"0.spi,1.spi.elec,0.spi,1.spi.opti,0.spi,1.spi.signal,0.math,1.math.math-mp","Plateau de Moulon 3 rue Joliot Curie 91192 GIF SUR YVETTE CEDEX,Bâtiment 300 - 91405 Orsay cedex,3\, rue Joliot Curie\,Plateau de Moulon\,91192 GIF-SUR-YVETTE Cedex",,"fr,fr,fr,fr,sg","Laboratoire des signaux et systèmes,Université Paris-Sud - Paris 11,CentraleSupélec,Centre National de la Recherche Scientifique,Institution of High Performance Computing\, A*STAR","laboratory,institution,institution,institution,institution","L2S,UP11,CNRS,IHPC",en
hal-01634151,1,https://hal.univ-lorraine.fr/hal-01634151,COUV,,,Participative Democracy and the Fiscal Issue,,,1669087,Katia,Blairon,Katia Blairon,2013,"0.shs,1.shs.droit","IRENEE\, Université de Lorraine\, Campus Carnot/Ravinelle\, 13 place Carnot\, 54000 Nancy,34 cours Léopold - CS 25233 - 54052 Nancy cedex",EA7303,"fr,fr","Institut de Recherches sur l'Evolution de la Nation et de l'Etat,Université de Lorraine","laboratory,institution","IRENEE,UL",en
hal-01634150,1,http://hal.upmc.fr/hal-01634150,ART,,,On the Design of Automatic Link Establishment in High Frequency Networks,"Most High Frequency (HF) communications systems deployed on the field today implement Automatic Link Establishment (ALE) techniques in order to help the HF stations automatically set up a link with good properties. Two generations (so called 2G and 3G ALE) have been standardized since the 90’s\, and are today being revisited due to the emergence of wideband HF waveforms. In this paper\, we develop Markovian models of the 2G ALE procedure\, which is nowadays the most widely used as it can operate while being completely asynchronous. Our models are “channel oriented”\, i.e.\, they observe the system from channel occupation perspective regardless of node status. We show by comparison with high-level OMNET++ simulations that our models provide fast and accurate estimation of all performance parameters of interest\, and capture the main characteristics of the ALE process and the interactions between their numerous parameters. We believe that our work constitutes a useful tool to help operator plan and dimension HF networks. We also exploit the model to give some insight on the limitations of current 2G ALE\, helping the design of future ALE strategies.",,"143047,492365,1012046,1164131,1164129","Bruno,Hicham,Vania,Catherine,Romain","Baynat,Khalife,Conan,Lamy-Bergot,Prouvez","Bruno Baynat,Hicham Khalife,Vania Conan,Catherine Lamy-Bergot,Romain Prouvez",2017-07,"0.info,1.info.info-ni,0.info,1.info.info-mo,0.info,1.info.info-pf","4 Place JUSSIEU 75252 PARIS CEDEX 05,4 place Jussieu - 75005 Paris",UMR7606,"fr,fr,fr,fr","Networks and Performance Analysis,Laboratoire d'Informatique de Paris 6,Université Pierre et Marie Curie - Paris 6,Centre National de la Recherche Scientifique","researchteam,laboratory,institution,institution","NPA,LIP6,UPMC,CNRS",en
hal-01634149,1,https://hal.archives-ouvertes.fr/hal-01634149,COMM,,,“Excessive speculation” in commodities derivatives markets: Boundary work around acceptable versus non acceptable practices,"Adopting an historical perspective\, we propose to study the way recurrent debates regarding the “excessive speculation” category on financial derivatives markets\, take various shapes at different points in time. We consider that history does not repeat itself\, at least not in the exact way. However\, many of the issues faced by markets regarding speculation are not entirely new. More specifically\, we will analyse\, at two different points in time\, how actors combine justifications to impact on the frontier between moral and immoral behaviours and undertake work and efforts to define the boundaries between acceptable versus non-acceptable practices. Then\, we will look at the consequences on market shaping. We focus on commodities derivatives markets with special emphasis on agricultural markets. As these markets bear a direct link with the feeding of people\, their history is characterized by recurrent struggles involving moral as well as technical issues between a diversity of actors (farmers\, politicians\, agribusiness firms\, commodity traders\, activists\, academics…) acting on the basis of different worldviews. The most persistent feature of the controversy lies in the role of speculation\, sometimes seen as beneficial to the functioning of the market\, sometimes stigmatized as responsible for major food crisis. Although the notion first appeared in the wake of the 1929 crisis\, and played a structuring role in the regulation of commodities futures markets at that time\, categorizing transactions on markets as excessively speculative proved to be both crucial in the functioning of the market and particularly uneasy. In this project\, we will study the controversy around the definition and the role of “excessive speculation” within two major parliamentary debates involved by regulatory issues: the Commodity Exchange Act in 1936 and the MiFID2 in 2011. An interesting question raised by the recurrent apparition of the “excessive speculation” category in debates regarding the desirable level of regulation of financial commodities markets in the US and in Europe is the leeway\, left to both opponents and advocates\, by the ambiguity of the notion. We propose to study how actors handle this ambiguity and work on the boundaries of the category\, in their attempt to define what is permissible and what is not on commodities derivatives markets over time. We argue that the analysis of the structure of the debates at two different periods might reveal on the persistent mechanisms relating categories\, the evolution (or stability) of power relations and their consequences on organizational forms of markets. Methodologically\, we rely on many types of official documents\, and specifically on parliamentary reports\, congressional hearings (1934-1936) and history books\, in order to analyze the debates about the 1936 regulation. Recent reports by NGOs on commodity derivatives constitute another source of data to analyze the present regulation wave\, where resistance against “excessive speculation” is explicitly expressed and proposals to set limits on commodity speculation are put forward. We also analyze contributions to the public consultation organized by the European Commission in a document concerning the review of the Markets in Financial Instruments Directive (MiFID) from 08/12/2010 to 02/02/2011. Close analysis of the responses provides interesting results\, particularly as regards the controversies around the definition of “excessive speculation” and the discourses used for that purpose.","Commodities derivatives markets,Speculation,Regulation,Categories,Boundary work","654761,1669415","Isabelle,Hélène","Huault,Rainelli","Isabelle Huault,Hélène Rainelli",2014-07,"0.shs,1.shs.gestion",Place du Maréchal de Lattre de Tassigny 75775 Paris Cedex 16,UMR7088,"fr,fr,fr","Dauphine Recherches en Management,Université Paris-Dauphine,Centre National de la Recherche Scientifique","laboratory,institution,institution","DRM,CNRS",en
halshs-01634148,1,https://halshs.archives-ouvertes.fr/halshs-01634148,ART,,,Le paysage musical et sonore d’Olympie,,"Musique,,Olympie",1667920,Sylvain,Perrot,Sylvain Perrot,2014,"0.shs,1.shs.art,0.shs,1.shs.musiq","CNRS : UMR8546 - Ecole Normale Supérieure de Paris - ENS Paris - 45 Rue d'Ulm 75230 PARIS CEDEX 05,4-14 Rue Ferrus\, 75014 Paris,45\, Rue d'Ulm - 75230 Paris cedex 05,CNRS : UMR8546 - Ecole Normale Supérieure de Paris - ENS Paris - 45 Rue d'Ulm 75230 PARIS CEDEX 05,4-14 Rue Ferrus\, 75014 Paris,45\, Rue d'Ulm - 75230 Paris cedex 05","UMR 85-46,UMR8546,UMR8546","fr,fr,fr,fr,fr,fr,fr,fr","Cultures de l’écrit,Archéologie et Philologie d'Orient et d'Occident,Centre National de la Recherche Scientifique,École pratique des hautes études,École normale supérieure - Paris,Archéologie et Philologie d'Orient et d'Occident,Centre National de la Recherche Scientifique,École pratique des hautes études,École normale supérieure - Paris","researchteam,laboratory,institution,institution,institution,laboratory,institution,institution,institution","AOROC,CNRS,EPHE,ENS Paris,AOROC,CNRS,EPHE,ENS Paris",fr
hal-01634147,1,https://hal.archives-ouvertes.fr/hal-01634147,COMM,,,"SpatiAnn\, un outil pour annoter lutilisation de lespace dans les corpus vidéo",abstract,,"1668793,1668796","Annelies,Laurence","Braffort,Bolot","Annelies Braffort,Laurence Bolot",2011-01-01,"0.info,0.info,1.info.info-cl","Université Paris-Sud Bât. 508 - Rue John Neumann -91405 ORSAY CEDEX,Bâtiment 300 - 91405 Orsay cedex",UPR3251,"fr,fr,fr","Laboratoire d'Informatique pour la Mécanique et les Sciences de l'Ingénieur,Université Paris-Sud - Paris 11,Centre National de la Recherche Scientifique","laboratory,institution,institution","LIMSI,UP11,CNRS",en
hal-01634145,1,https://hal.archives-ouvertes.fr/hal-01634145,COMM,,,Signing avatars - The past and the future,abstract,,"1668793,1669417,1669418,1669419","Annelies,Thomas,Matt,Rosalee","Braffort,Hanke,Huenerfauth,Wolfe","Annelies Braffort,Thomas Hanke,Matt Huenerfauth,Rosalee Wolfe",2013-01-01,"0.info,0.info,1.info.info-cl","Université Paris-Sud Bât. 508 - Rue John Neumann -91405 ORSAY CEDEX,Bâtiment 300 - 91405 Orsay cedex",UPR3251,"fr,fr,fr","Laboratoire d'Informatique pour la Mécanique et les Sciences de l'Ingénieur,Université Paris-Sud - Paris 11,Centre National de la Recherche Scientifique","laboratory,institution,institution","LIMSI,UP11,CNRS",en
hal-01634144,1,https://hal.archives-ouvertes.fr/hal-01634144,COMM,,,Platin : Plateforme denseignement/apprentissage de la Langue des Signes Française,"Lenseignement/apprentissage de la LSF quil soit à distance ou non savère souvent compliqué. Si certains doutent de la faisabilité de lapprentissage à distance des langues signées\, il nen demeure pas moins quil représente bien souvent la seule solution pour les personnes souhaitant apprendre la LSF ou en favoriser la diffusion. Nous avons donc décidé de créer une plateforme denseignement/apprentissage de la LSF prenant en compte les outils du web 2.0 à savoir des forums vidéo\, un système de vidéo chat et une salle des profs permettant léchange de fichier. Nous avons également choisi dintégrer certaines technologies innovantes dans le domaine du traitement automatique des langues signées (signeur virtuel notamment). Ces choix ont été faits en ayant consulté les avis dune partie du public visé. Une phase de test a lieu cette année\, elle constitue la première étape pour la réalisation de la plateforme. Les résultats que nous présenterons montreront quel impact la plateforme a chez des apprenants de niveau débutant ayant quelques notions de bases en LSF mais aussi chez des apprenants nayant jamais suivi de cours sur la LSF.","Signeur Virtuel,Enseignement/apprentissage de la LSF,Plateforme","733332,194845,1668793","Lucie,Virginie,Annelies","Metz,Zampa,Braffort","Lucie Metz,Virginie Zampa,Annelies Braffort",2013-01-01,"0.info,0.info,1.info.info-cl","Université Paris-Sud Bât. 508 - Rue John Neumann -91405 ORSAY CEDEX,Bâtiment 300 - 91405 Orsay cedex",UPR3251,"fr,fr,fr","Laboratoire d'Informatique pour la Mécanique et les Sciences de l'Ingénieur,Université Paris-Sud - Paris 11,Centre National de la Recherche Scientifique","laboratory,institution,institution","LIMSI,UP11,CNRS",en
