halId_s,version_i,uri_s,docType_s,nntId_s,title_s,authFullName_s,producedDate_s,domain_s,page_s,country_s,language_s,licence_s
hal-01143107,1,https://hal.archives-ouvertes.fr/hal-01143107,ART,,Epidemiological evidence for the association between red and processed meat intake and colorectal cancer,"Denis E. Corpet,Stefaan De Smet,Daniel Demeyer",2014-04-25,"0.sdv,1.sdv.aen,0.sdv,1.sdv.can,0.sdv,1.sdv.tox",p. 115,,en,
hal-01234788,1,https://hal.archives-ouvertes.fr/hal-01234788,ART,,Maps of animal urban agriculture in Kampala City,"Allan Komakech,Noble Banadda,Girma Gebresenbet,Björn Vinnerås",2014,"0.sdv,1.sdv.sa,0.sdv,1.sdv.ee",493-500,,en,
hal-01614176,1,https://hal.inria.fr/hal-01614176,COMM,,Research and Design of Shandong Province Animal Epidemic Prevention System Based on GIS,"Jiabo Sun,Wenjie Feng,Xiaoyan Zhang,Luyan Niu,Yanzhong Liu",2015-09-27,0.info,570-578,cn,en,http://creativecommons.org/licenses/by/
hal-00710047,1,https://hal.archives-ouvertes.fr/hal-00710047,ART,,The dynamics of Salmonella occurrence in commercial laying hen flocks throughout a laying period,"Jochen Schulz,Sebastiaan Van Hoorebeke,Birthe Hald,Jörg Hartung,Filip Van Immerseel,Ines Radtke,Susanne Kabell,Jeroen Dewulf",2011-06-20,"0.sdv,1.sdv.ba",243-248,,en,
hal-00535302,1,https://hal.archives-ouvertes.fr/hal-00535302,ART,,Prevention of zoonotic animal diseases: a step towards co-operation among Nordic authorities?,Heli Irmeli Koskinen,2010-01-06,,385-390,,en,
hal-01557827,1,https://hal.inria.fr/hal-01557827,COMM,,Research on Coordinated Development Between Animal Husbandry and Ecological Environment Protection in Australia,"Shasha Li,Yiming Zhu",2015-09-27,0.info,285-291,cn,en,http://creativecommons.org/licenses/by/
hal-00670245,1,https://hal.archives-ouvertes.fr/hal-00670245,ART,,EFFICACY AND SAFETY OF ATTENUATED LIVE INFECTIOUS BRONCHITIS VIRUS STRAIN QX-LIKE IN CHICKENS,"Harm Geerligs,Gert Jan Boelm,Cindy Meinders,Diana Stuurman,Jori Symons,Jordi Tarres-Call,Tura Bru,Rut Vila,Mark Mombarg,Kemal Karaca,Willem Wijmenga,Mahesh Kumar",2011-02-15,"0.sdv,1.sdv.ba",93-102,,en,
tel-00817996,1,https://tel.archives-ouvertes.fr/tel-00817996,THESE,,"The animal voice in Hispano-American literature from the second half of the XXth century,La voix animale dans la littérature Hispano-américain de la deuxième partie du XXème siècle",Alejandro Lambarry,2011-11-30,"0.shs,1.shs.litt",,,es,
hal-00540101,1,https://hal.archives-ouvertes.fr/hal-00540101,ART,,Herd immunity tio Newcastle disease virus in poultry by vaccination,"Michiel Van Boven,Annemarie Bouma,Teun Fabri,Elly Katsma,Leo Hartog,Guus Koch",2008-01-16,,1-5,,en,
hal-00540122,1,https://hal.archives-ouvertes.fr/hal-00540122,ART,,<i>In vitro</i> antibiotic susceptibility of Dutch <i>Mycoplasma synoviae</i> field isolates originating from joint lesions and the respiratory tract of commercial poultry,"Wil J.M. Landman,Dik J. Mevius,Kees T. Veldman,Anneke Feberwee",2008-07-14,,415-420,,en,
